rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_PurchaseOfInterestsInInvestmentsAccountedForUsingEquityMethod,관계기업 및 공동기업 투자의 취득,-,제 55 기,78690000000,제 54 기,907958000000,제 53 기,47090000000,32,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,-,제 55 기,57611292000000,제 54 기,49430428000000,제 53 기,47122106000000,33,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-,제 55 기,44137427000000,제 54 기,62181346000000,제 53 기,65105448000000,34,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInOperations,영업에서 창출된 현금흐름,-,제 55 기,46547889000000,제 54 기,71728568000000,제 53 기,72676199000000,35,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로 인한 자산부채의 변동 (주27),-,제 55 기,-5458745000000,제 54 기,-16998948000000,제 53 기,-16286884000000,36,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_AdjustmentsForReconcileProfitLoss,조정 (주27),-,제 55 기,36519534000000,제 54 기,33073439000000,제 53 기,49055633000000,37,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_ProfitLoss,당기순이익(손실),-,제 55 기,15487100000000,제 54 기,55654077000000,제 53 기,39907450000000,38,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금 수입,-,제 55 기,269169000000,제 54 기,529421000000,제 53 기,299033000000,39,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세 납부액,-,제 55 기,6620950000000,제 54 기,11498895000000,제 53 기,8842049000000,40,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,-,제 55 기,844691000000,제 54 기,714543000000,제 53 기,434441000000,41,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,-,제 55 기,4786010000000,제 54 기,2136795000000,제 53 기,1406706000000,42,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,외화환산으로 인한 현금의 변동,-,제 55 기,792785000000,제 54 기,-539198000000,제 53 기,1582046000000,43,KRW,
20240312000736,11011,2023,00126380,CF,현금흐름표,ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증감,-,제 55 기,19400183000000,제 54 기,10649295000000,제 53 기,9648837000000,44,KRW,
